"filename", "language", "Markdown", "JavaScript", "JSON", "PostCSS", "JavaScript JSX", "HTML", "comment", "blank", "total"
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\vendor-requests.json", "JSON", 0, 0, 154, 0, 0, 0, 0, 1, 155
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\create-admin.js", "JavaScript", 0, 53, 0, 0, 0, 0, 4, 10, 67
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\build\asset-manifest.json", "JSON", 0, 0, 13, 0, 0, 0, 0, 0, 13
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\build\index.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\build\manifest.json", "JSON", 0, 0, 15, 0, 0, 0, 0, 1, 16
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\build\static\css\main.a089f917.css", "PostCSS", 0, 0, 0, 1, 0, 0, 1, 0, 2
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\build\static\js\main.05c96ac2.js", "JavaScript", 0, 1, 0, 0, 0, 0, 2, 0, 3
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\devServer.js", "JavaScript", 0, 16, 0, 0, 0, 0, 4, 6, 26
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\package-lock.json", "JSON", 0, 0, 25669, 0, 0, 0, 0, 1, 25670
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\package.json", "JSON", 0, 0, 43, 0, 0, 0, 0, 1, 44
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\public\assets\images\README.md", "Markdown", 12, 0, 0, 0, 0, 0, 0, 7, 19
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 56, 0, 1, 57
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\public\manifest.json", "JSON", 0, 0, 15, 0, 0, 0, 0, 1, 16
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 568, 0, 9, 28, 605
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\api\adminApi.js", "JavaScript", 0, 379, 0, 0, 0, 0, 22, 41, 442
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\api\bazaarApi.js", "JavaScript", 0, 11, 0, 0, 0, 0, 1, 4, 16
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\api\courtsApi.js", "JavaScript", 0, 127, 0, 0, 0, 0, 11, 12, 150
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\api\eventManagementApi.js", "JavaScript", 0, 53, 0, 0, 0, 0, 3, 4, 60
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\api\eventsApi.js", "JavaScript", 0, 227, 0, 0, 0, 0, 9, 20, 256
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\api\gymApi.js", "JavaScript", 0, 33, 0, 0, 0, 0, 2, 8, 43
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\api\gymSessionApi.js", "JavaScript", 0, 58, 0, 0, 0, 0, 0, 6, 64
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\api\professorApi.js", "JavaScript", 0, 387, 0, 0, 0, 0, 28, 29, 444
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\api\studentRegistrationApi.js", "JavaScript", 0, 68, 0, 0, 0, 0, 4, 7, 79
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\api\vendorApi.js", "JavaScript", 0, 74, 0, 0, 0, 0, 6, 15, 95
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\api\vendorRequestApi.js", "JavaScript", 0, 143, 0, 0, 0, 0, 4, 20, 167
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\components\BazaarForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 204, 0, 1, 15, 220
